Lot #,Location,Photo,Description
1,,lot-1.JPG,Skilled Crafter Hole Punch
2,,lot-2.JPG,(2) Punch Sets
3,,lot-3.JPG,"Roper Whitney 5JR Hand Punch, with Case, Punches & Dies"
4,,lot-4.JPG,"DeWalt DCF682 8-Volt Cordless Screwdriver, with DeWalt Right Angle Attachment, Charger"
5,,lot-5.JPG,"(4) Cordless Drills, with Chargers"
6,,lot-6.JPG,"Ryobi Cordless Drill & Saw Set, with Batteries, Charger"
7,,lot-7.JPG,Wen Electric Belt Grinder
8,,lot-8.JPG,"Sunbeam Freightmaster 150 150-Lb. Shipping Scale, with 10"" x 11"" Platform, Digital Readout"
9,,lot-9.JPG,"Z Cut-9 Electric Tape Dispenser, with (3) Manual Dispensers"
10,,lot-10.JPG,(2) Bosch PR20EVS Palm Routers
11,,lot-11.JPG,"(4) Jorgensen 24"" Bar Clamps"
12,,lot-12.JPG,(2) Kant Twist 6D Clamps
13,,lot-13.JPG,(4) Kant Twist 4D Clamps
14,,lot-14.JPG,(3) Kant Twist 2-1/2D Clamps & (1) 3D Clamp
15,,lot-15.JPG,Jet AP-0 1/2-Ton Bench-Top Arbor Press
16,,lot-16.JPG,Central Hydraulics 01666 6-Ton Manual Hydraulic Shop Press
17,,lot-17.JPG,"Jet 577004 8"" Disc & 2"" x 42"" Belt Combination Sander, with 3/4-HP, 120-Volt, 1-Phase"
18,,lot-18.JPG,"Ridgid MS1050-1 10"" Miter Saw"
19,,lot-19.JPG,"Wilton 3410 7"" x 12"" Horizontal Band Saw, S/N 070314379, 2007, with 3/4-HP, 115/230-Volt, 1-Phase"
20,,lot-20.JPG,"Jet J-8201K 14"" Vertical Band Saw, S/N 17080375, with 14"" x 14"" Table, 39 - 2780SFPM, 1-HP, 115/230-Volt, 1-Phase"
21,,lot-21.JPG,"Ryobi BS904G 9"" Vertical Band Saw, with 12"" x 12"" Table, 120-Volt, 1-Phase"
22,,lot-22.JPG,Lot of Assorted Band Saw Blades
23,,lot-23.JPG,"(2) Sections of Teardrop Style Pallet Racking, with 8' Cross Beams, 8' & 10"" Uprights, Cox Air Hose Reel, Assorted Contents"
24,,lot-24.JPG,Just Rite 45-Gallon Flammable Liquids Storage Cabinet (NO CONTENTS)
25,,lot-25.JPG,Just Rite 45-Gallon Flammable Liquids Storage Cabinet (NO CONTENTS)
26,,lot-26.JPG,Just Rite 45-Gallon Flammable Liquids Storage Cabinet (NO CONTENTS)
27,,lot-27.JPG,"Haas VF-3D CNC Vertical Machining Center, S/N 1058498, 2007, with 10,000-RPM, CT 40, 20-Position Automatic Tool Changer, 48"" x 18"" Table, 40"" X-Axis Travel, 20"" Y-Axis Travel, 25"" Z-Axis Travel, P-Cool, Rigid Tapping, DNC, BK Edit, Quick Code, High Speed Machining, Chip Auger, 3,4XX Hours (NO ALUMINUM FIXTURE PLATE)"
28,,lot-28.JPG,"24"" x 72"" Work Table, with Assorted Hand Tools, 18"" x 24"" Black Granite Surface Plate, 3"" Thick, Oily Waste Can"
29,,lot-29.JPG,"Plastic Shop Cart, with Assorted Set Up Hardware"
30,,lot-30.JPG,"Haas VF-2D 4-Axis CNC Vertical Machining Center, S/N 42697, 2005, with 10,000-RPM, CT 40, 20-Position Automatic Tool Changer, 36"" x 14"" Table, 30"" X-Axis Travel, 16"" Y-Axis Travel, 20"" Z-Axis, P-Cool, Rigid Tapping, Rotation/Scaling, DNC, BK Edit, M19 Spindle Orientation, Quick Code, High Speed Machining, Chip Auger (NO ALUMINUM FIXTURE PLATE)"
31,,lot-31.JPG,"24"" x 84"" Work Table, with Assorted Hand Tools (NO TAGGED ITEMS)"
32,,lot-32.JPG,"Haas VF-1D CNC Vertical Machining Center, S/N 36812, 2004, with 10,000-RPM, CT 40, 20-Position Automatic Tool Changer, 26"" x 14"" Table, 20"" X-Axis Travel, 16"" Y-Axis Travel, 20"" Z-Axis Travel, P-Cool, Rigid Tapping, DNC, BK Edit, Quick Code, High Speed Machining, Chip Auger (NO ALUMINUM FIXTURE PLATE)"
33,,lot-33.JPG,"24"" x 84"" Work Table, with Assorted Hand Tools (NO TAGGED ITEMS)"
34,,lot-34.JPG,"(14) CT 40 Tool Holders, with Wood Storage Rack"
35,,lot-35.JPG,(14) CT 40 Tool Holders
36,,lot-36.JPG,"(23) CT 40 Tool Holders, with 18"" x 48"" Rolling Metro Cart"
37,,lot-37.JPG,(8) CT 40 Tool Holders
38,,lot-38.JPG,(6) CT 40 Tool Holders
39,,lot-39.JPG,(6) CT 40 Tool Holders
40,,lot-40.JPG,(8) CT 40 Tool Holders
41,,lot-41.JPG,(8) CT 40 Tool Holders
42,,lot-42.JPG,"Kurt D675 6"" Machine Vise, with Handle"
43,,lot-43.JPG,"Kurt D675 6"" Machine Vise, with Handle"
44,,lot-44.JPG,"Kurt D675 6"" Machine Vise, with Handle"
45,,lot-45.JPG,"Kurt D675 6"" Machine Vise, with Handle"
46,,lot-46.JPG,"9"" Machine Vise"
47,,lot-47.JPG,"3"" Tilting Machine Vise"
48,,lot-48.JPG,"6"" Vise Jaws & Vise Repair Parts"
49,,lot-49.JPG,"(3) Angle Plates, with 12"" x 12"" x 12"", 10"" x 8"" x 6"", & 6"" x 6"" x 4"""
50,,lot-50.JPG,"92) 3-1/8"" Set Up V-Blocks"
51,,lot-51.JPG,"(2) 2"" x 4"" x 6"" Set Up Blocks & (5) 1"" x 2"" x 3"" Set Up Blocks"
52,,lot-52.JPG,Lot of Assorted Parallel Sets
53,,lot-53.JPG,"Lot of ER40, ER32, & ER16 Spring Collets"
54,,lot-54.JPG,"Darex Drill Doctor 750X Drill Bit Sharpener, 2020"
55,,lot-55.JPG,"(3) Huot Drill Index Cabinets, with Bits"
56,,lot-56.JPG,"3-Shelf Storage Rack, with Contents, Wooden Drawer System"
57,,lot-57.JPG,"Stanley 4-Drawer Tool Box, with Hardware Cabinet, Inspection Camera, Benq Monitor"
58,,lot-58.JPG,"Metro Rack with Hardware Cabinet, with 9-Drawer Cabinet, Pin Gaging, Assorted Tooling"
59,,lot-59.JPG,"(2) 6-Drawer Cabinet with Contents, (2) 10-Drawer Cabinet with Contents, 33"" W Shelf with Contents"
60,,lot-60.JPG,4-Shelf Rack with Contents
61,,lot-61.JPG,"Mitutoyo 0"" - 6"" 6-Pc. Micrometer Set, with Case"
62,,lot-62.JPG,"Oiiwak Digital Inspection System, with Case"
63,,lot-63.JPG,"(2) Mitutoyo 6"" Digital Calipers, (1) Origin Cal 4"" Digital Caliper"
64,,lot-64.JPG,Starrett 449 Depth Micrometer
65,,lot-65.JPG,"Mitutoyo 0"" - 1"" Digital Micrometer"
66,,lot-66.JPG,Lot of Dial Indicators
67,,lot-67.JPG,"Micro Flame H160A Plastic Polisher, 2024"
68,,lot-68.JPG,"18"" x 48"" Shelving System, 9' H, with (7) Shelves, Assorted Contents"
69,,lot-69.JPG,"18"" x 48"" Shelving System, 9' H, with (7) Shelves, Assorted Contents"
70,,lot-70.JPG,"Craftsman 22"" x 60"" Work Bench, with Contents"
71,,lot-71.JPG,"25"" x 72"" Work Table, with Contents"
72,,lot-72.JPG,"42"" x 78"" Shelving System, with (6) Shelves, Assorted Contents"
73,,lot-73.JPG,"Craftsman 22"" x 60"" Work Bench, with Contents"
74,,lot-74.JPG,"42"" x 78"" Shelving System, with (6) Shelves, Assorted Contents, 16-Drawer Organizer with Contents"
75,,lot-75.JPG,"Chicago Pneumatics QRS-10TM120 10-HP Rotary Screw Air Compressor, S/N ITJ367957, 2020, with Horizontal Tank Mounted, 132-PSI, 3,9XX Hours"
76,,lot-76.JPG,Zebra GK420d Desktop Direct Thermal Printer
77,,lot-77.JPG,Ultem Stock Plus A Bit Of Pet
78,,lot-78.JPG,White Delrin Stock
79,,lot-79.JPG,Black Delrin Stock
80,,lot-80.JPG,Ultem Stock + A Little Pvc #80
81,,lot-81.JPG,"Haul Master 21"" x 24"" Manual Lift Cart, 1,000-Lb. Capacity"
82,,lot-82.JPG,"Tera Pump Tre-DRUM-S Electric Drum Pump, with Barrel Dolly"
