Lot #,Location,Photo,Description
100,"SOUTH BEND, INDIANA",lot-100.jpg,"2014 Citizen Miyano BNA-42GTY CNC Swiss Lathe, S/N CV420019 - 42mm bar capacity, chucker capable, sliding headstock, non-guide bushing, gang tool and turret configuration, Y-axis gang, Y-axis turret, live tools, sub spindle, Mits control, chip conveyor, part conveyor."
101,"SOUTH BEND, INDIANA",lot-101.jpg,"2004 Citizen Cincom M32 Type III, CNC Swiss Lathe, S/N P14390 - 32mm, sub spindle, CINCOM control, gang and turret configuration, live tools on gang and turret, mist collector, chip conveyor, high pressure coolant."
102,"SOUTH BEND, INDIANA",lot-102.jpg,"1997 Iemca CNC Boss 542 Barloader S/N 97042129 - 12' bars, 5mm-42mm capacity."
103,"SOUTH BEND, INDIANA",lot-103.jpg,"2007 Citizen Cincom M32-V (3M5), CNC Swiss Lathe, S/N P16280 - - 32mm, sub spindle, CINCOM control, gang and turret configuration, live tools on gang and turret, Y-axis turret, chip conveyor, overhead parts grabber system, mist collector, part conveyor, high pressure coolant."
104,"SOUTH BEND, INDIANA",lot-104.jpg,2007 Iemca Prodigy 551E Barloader S/N A0710091 - for 6' bars and 5-51mm bar capacity.
105,"SOUTH BEND, INDIANA",lot-105.jpg,2003 Iemca Genius 120 Barloader S/N 0200330B01 - 1-20mm bar capacity x 12' bars.
106,"SOUTH BEND, INDIANA",lot-106.jpg,"2006 Citizen Cincom M16 Type III, CNC Swiss Lathe, S/N P15308 - 16mm bar capacity, live tools on gang and turret, sub spindle, mist collector, CAV magazine bar loader."
107,"SOUTH BEND, INDIANA",lot-107.jpg,2008 CAV16M-IS Barloader S/N CAC1_773
108,"SOUTH BEND, INDIANA",lot-108.jpg,"2001 Citizen Cincom L20VII 5M7 CNC Swiss Lathe, S/N 011119 - Cincom Mits Windows control, live tools, sub spindle, 20mm bar capacity, mist collector. Parts Machine"
109,"SOUTH BEND, INDIANA",lot-109.jpg,"2001 LNS Super Hydrobar HYS-3.20 HS-4.8, 20mm bar cap and 12’ single feed hydrodynamic bar feed system"
