Name,Description,PhotoUrl,LinkUrl
2013 Haas UMC-750,5-Axis CNC Mill,https://placehold.co/274x206/2d2d2b/ddb305?text=Equipment+Photo,https://mjml.io/[LINK: lot detail URL]
2013 Haas ST-30SSY,CNC Lathe,https://ettdqtw.stripocdn.email/content/guids/CABINET_c6409ed3c5a886a9ed5afe1499a2fcee622767419bca958bb4f6c846300e9926/images/lot14_haasst30ssy_01.jpg,https://mjml.io/[LINK: lot detail URL]
2012 Haas VF-5/40,CNC Vertical Machining Center,https://ettdqtw.stripocdn.email/content/guids/CABINET_c6409ed3c5a886a9ed5afe1499a2fcee622767419bca958bb4f6c846300e9926/images/haasvf5_01.jpg,https://mjml.io/[LINK: lot detail URL]
2007 Haas VF-2D,CNC Vertical Machining Center,https://placehold.co/274x206/2d2d2b/ddb305?text=Equipment+Photo,https://mjml.io/[LINK: lot detail URL]
2007 Haas SL-10T,CNC Lathe,https://ettdqtw.stripocdn.email/content/guids/CABINET_c6409ed3c5a886a9ed5afe1499a2fcee622767419bca958bb4f6c846300e9926/images/lot11_haassl10t_02.jpg,https://mjml.io/[LINK: lot detail URL]
2005 Haas TL-2,CNC Lathe,https://ettdqtw.stripocdn.email/content/guids/CABINET_c6409ed3c5a886a9ed5afe1499a2fcee622767419bca958bb4f6c846300e9926/images/lot07_haastl2_03.jpg,https://mjml.io/[LINK: lot detail URL]
1998 Haas HL-4,CNC Lathe,https://ettdqtw.stripocdn.email/content/guids/CABINET_c6409ed3c5a886a9ed5afe1499a2fcee622767419bca958bb4f6c846300e9926/images/lot06_haashl4_01.jpg,https://mjml.io/[LINK: lot detail URL]
Omax 80160,CNC Waterjet,https://placehold.co/274x206/2d2d2b/ddb305?text=Equipment+Photo,https://mjml.io/[LINK: lot detail URL]
Omax 60120,CNC Waterjet,https://placehold.co/274x206/2d2d2b/ddb305?text=Equipment+Photo,https://mjml.io/[LINK: lot detail URL]
2000 Virtek LPS-1DS,Laser Projection Scanner,https://ettdqtw.stripocdn.email/content/guids/CABINET_c6409ed3c5a886a9ed5afe1499a2fcee622767419bca958bb4f6c846300e9926/images/lot15_virtekscanner_01.jpg,https://mjml.io/[LINK: lot detail URL]
Do-All C-916A,Band Saw,https://ettdqtw.stripocdn.email/content/guids/CABINET_c6409ed3c5a886a9ed5afe1499a2fcee622767419bca958bb4f6c846300e9926/images/lot09_doallbandsaw_01.jpg,https://mjml.io/[LINK: lot detail URL]
Kalamazoo Saw Startrite 216,Heavy Duty Band Saw,https://ettdqtw.stripocdn.email/content/guids/CABINET_c6409ed3c5a886a9ed5afe1499a2fcee622767419bca958bb4f6c846300e9926/images/image.jpg,https://mjml.io/[LINK: lot detail URL]
Hyster 152 50,Forklift,https://ettdqtw.stripocdn.email/content/guids/CABINET_c6409ed3c5a886a9ed5afe1499a2fcee622767419bca958bb4f6c846300e9926/images/lot22_hyster50_02.jpg,https://mjml.io/[LINK: lot detail URL]
Hyster 156 60,Forklift,https://ettdqtw.stripocdn.email/content/guids/CABINET_c6409ed3c5a886a9ed5afe1499a2fcee622767419bca958bb4f6c846300e9926/images/lot23_hyster60_06.jpg,https://mjml.io/[LINK: lot detail URL]
