Name,Description,PhotoUrl,LinkUrl
2007 Haas VF-3D,CNC Vertical Machining Center,https://placehold.co/274x206/2d2d2b/ddb305?text=Equipment+Photo,https://www.bidspotter.com/en-us/auction-catalogues/kda/catalogue-id-kd-auc10067/lot-a2073d6c-f3bc-46b2-8b89-b4980023b320
2005 Haas VF-2D,4-Axis CNC Vertical Machining Center,https://placehold.co/274x206/2d2d2b/ddb305?text=Equipment+Photo,https://www.bidspotter.com/en-us/auction-catalogues/kda/catalogue-id-kd-auc10067/lot-2dd609f4-5fa3-4524-aa4a-b4980023b320
2004 Haas VF-1D,CNC Vertical Machining Center,https://placehold.co/274x206/2d2d2b/ddb305?text=Equipment+Photo,https://www.bidspotter.com/en-us/auction-catalogues/kda/catalogue-id-kd-auc10067/lot-61d99ae0-af17-4aa3-9486-b4980023b320
2020 Chicago Pneumatics QRS-10TM120,10-HP Rotary Screw Air Compressor,https://placehold.co/274x206/2d2d2b/ddb305?text=Equipment+Photo,https://www.bidspotter.com/en-us/auction-catalogues/kda/catalogue-id-kd-auc10067/lot-c578cccc-a4f7-4b45-877e-b4980023b320
"Jet 577004 8"" Disc & 2"" x 42""",Belt Combination Sander,https://placehold.co/274x206/2d2d2b/ddb305?text=Equipment+Photo,https://www.bidspotter.com/en-us/auction-catalogues/kda/catalogue-id-kd-auc10067/lot-e5ef2372-aa69-4823-a074-b4980023b320
2007 Wilton 3410,"7"" x 12"" Horizontal Band Saw",https://placehold.co/274x206/2d2d2b/ddb305?text=Equipment+Photo,https://www.bidspotter.com/en-us/auction-catalogues/kda/catalogue-id-kd-auc10067/lot-84d1e3e4-101e-4ad8-8568-b4980023b320
Jet J-8201K,"14"" Vertical Band Saw",https://placehold.co/274x206/2d2d2b/ddb305?text=Equipment+Photo,https://www.bidspotter.com/en-us/auction-catalogues/kda/catalogue-id-kd-auc10067/lot-901043d2-e601-4ec5-bc8e-b4980023b320
Ryobi BS904G,"9"" Vertical Band Saw",https://placehold.co/274x206/2d2d2b/ddb305?text=Equipment+Photo,https://www.bidspotter.com/en-us/auction-catalogues/kda/catalogue-id-kd-auc10067/lot-ad9a6675-9bbe-4c9d-a549-b4980023b320
(14) CT 40 Tool Holders,with Wood Storage Rack,https://placehold.co/274x206/2d2d2b/ddb305?text=Equipment+Photo,https://www.bidspotter.com/en-us/auction-catalogues/kda/catalogue-id-kd-auc10067/lot-89d2ce8f-b32c-4091-8ecc-b4980023b320
"Kurt D675 6"" Machine Vise",with Handle,https://placehold.co/274x206/2d2d2b/ddb305?text=Equipment+Photo,https://www.bidspotter.com/en-us/auction-catalogues/kda/catalogue-id-kd-auc10067/lot-3a20373e-c862-43c3-9ac1-b4980023b320
